Date,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DOW,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WBA,WMT,XOM
2000-01-27,3.9285714626312256,47.539730072021484,45.0625,22.28125,53.3125,42.15625,36.62381362915039,,89.0,58.25,113.5,49.0625,40.25,53.79166793823242,29.75,37.625,48.125,74.125,49.375,5.90625,34.5,52.03125,30.5625,6.7734375,27.59375,,52.38555145263672,29.125,59.125,40.5
2000-01-28,3.6294643878936768,46.17207336425781,44.625,21.75,51.9375,41.28125,36.253875732421875,,87.0,55.625,111.5625,47.0,42.25,51.125,28.46875,36.75,46.125,76.375,49.125,5.859375,35.1875,50.15625,30.0,6.578125,26.125,,51.8234748840332,28.8125,55.125,39.4375
2000-01-31,3.705357074737549,48.06855773925781,44.5,21.21875,54.75,41.8125,35.82228088378906,,91.625,56.625,112.25,49.46875,43.03125,53.79166793823242,28.71875,37.375,46.8125,78.625,48.9375,5.6875,36.1875,50.53125,30.1875,6.625,26.46875,,55.701805114746094,27.9375,54.75,41.4375
2000-02-01,3.580357074737549,49.30856704711914,43.75,21.59375,58.90625,41.59375,35.513999938964844,,91.25,62.0,110.0,50.71875,42.40625,55.83333206176758,29.0625,36.625,47.0625,76.8125,51.46875,5.8359375,37.0,49.75,29.3125,6.8046875,26.84375,,53.56591033935547,28.8125,58.6875,41.59375
2000-02-02,3.529017925262451,47.90443801879883,44.625,21.71875,56.9375,41.3125,36.74712371826172,,91.125,60.75,113.5,50.03125,42.6875,54.91666793823242,28.1875,35.5,46.25,76.875,50.40625,5.9296875,36.0,49.3125,27.875,6.984375,26.875,,53.34107971191406,28.9375,58.375,41.90625
2000-02-03,3.689732074737549,47.5214958190918,43.4375,21.15625,58.90625,40.71875,37.363685607910156,,85.375,60.5,117.125,52.09375,41.65625,55.45833206176758,27.625,35.0,45.84375,76.25,51.8125,5.984375,35.625,48.90625,26.625,6.921875,26.46875,,52.55417251586914,28.875,58.375,41.1875
2000-02-04,3.857142925262451,47.102081298828125,44.0,21.15625,60.5625,39.28125,37.610313415527344,,84.6875,61.125,115.625,52.375,41.0625,54.5,28.125,35.125,44.53125,75.0625,53.28125,5.8359375,35.75,47.375,26.75,7.09375,25.6875,,52.666587829589844,29.1875,56.3125,40.4375
2000-02-07,4.073660850524902,47.39384841918945,41.8125,20.625,62.59375,39.53125,37.48699951171875,,85.75,59.0,114.125,53.96875,40.71875,54.79166793823242,28.4375,34.9375,43.8125,75.25,53.3125,5.65625,37.0,46.625,26.625,7.2734375,25.59375,,53.734535217285156,28.9375,55.75,40.375
2000-02-08,4.1026787757873535,47.55796813964844,41.0,20.5,62.90625,39.15625,37.05540466308594,,89.4375,61.0,118.8125,54.40625,41.03125,56.70833206176758,28.59375,36.3125,43.84375,75.4375,54.96875,4.625,37.8125,47.875,26.3125,7.0,25.5,,53.06004333496094,30.125,59.5,39.46875
2000-02-09,4.0223212242126465,45.679718017578125,39.0,19.5625,64.40625,37.5,37.17871856689453,,86.75,58.75,117.375,52.3125,40.0,55.25,28.5,35.875,43.8125,71.375,52.0,4.21875,36.125,47.0,25.4375,6.7421875,25.3125,,51.992095947265625,29.9375,57.8125,38.125
2000-02-10,4.0535712242126465,45.07794952392578,39.75,19.03125,67.96875,38.40625,36.4388427734375,,86.625,59.5625,119.125,53.8125,39.0,55.41666793823242,28.34375,35.5,43.0,69.0,53.0,4.21875,35.0,45.71875,24.5,7.234375,25.0625,,51.317604064941406,30.625,57.0,37.9375
2000-02-11,3.8839285373687744,44.78618240356445,39.875,18.0,65.46875,37.0,37.363685607910156,,85.125,60.0625,115.375,52.9375,38.71875,55.08333206176758,27.78125,34.9375,41.46875,65.25,49.96875,4.25,35.0,46.875,24.375,7.0,24.1875,,50.36207580566406,29.625,56.0625,36.9375
2000-02-14,4.136160850524902,44.93206787109375,38.25,19.3125,65.25,36.90625,36.5004997253418,,86.5,60.3125,116.0625,54.9375,38.8125,52.70833206176758,27.0625,33.875,41.4375,66.0625,49.8125,4.0390625,35.0,45.9375,24.25,7.109375,25.15625,,49.74378967285156,29.8125,58.875,38.21875
2000-02-15,4.25,46.427371978759766,38.5,20.0,64.0,38.75,36.3771858215332,,86.5,59.75,117.125,56.0,39.84375,54.04166793823242,27.84375,33.75,44.5625,65.625,49.28125,3.8046875,35.5625,47.875,24.3125,7.421875,26.21875,,48.78826141357422,28.5,58.0,39.65625
2000-02-16,4.075892925262451,44.886478424072266,37.25,19.59375,63.5859375,38.90625,36.4388427734375,,82.9375,57.25,115.75,53.59375,39.90625,53.0,26.78125,33.375,44.15625,65.5,48.8125,3.6875,33.75,47.0234375,24.5,7.6640625,26.0625,,49.518959045410156,27.5,52.75,40.0
2000-02-17,4.1026787757873535,43.163230895996094,37.5,19.34375,65.25,38.875,36.00725173950195,,82.125,54.5,116.75,55.0,39.59375,52.25,26.15625,33.75,44.8125,63.25,49.8125,3.625,34.0,47.09375,24.625,7.859375,27.0625,,48.33859634399414,27.375,48.375,38.9375
2000-02-18,3.9732143878936768,40.33674240112305,36.0,18.84375,62.90625,38.09375,35.020748138427734,,80.8125,53.75,112.5,52.6875,38.71875,49.83333206176758,25.6875,32.5,43.78125,62.0,47.53125,3.5,34.0,46.8203125,23.625,7.234375,26.1875,,46.652366638183594,26.1875,47.75,37.5
2000-02-22,4.064732074737549,40.592037200927734,38.875,19.15625,61.96875,37.84375,32.9244384765625,,81.5625,53.625,111.0,53.375,39.3125,51.5,25.875,32.3125,45.0625,65.5,46.90625,3.375,33.5,46.4375,23.875,7.3515625,26.75,,46.9896125793457,26.25,48.125,37.71875
2000-02-23,4.151785850524902,40.300270080566406,37.125,18.90625,69.3125,36.625,33.66431427001953,,85.75,54.8125,108.75,54.53125,38.0625,51.58333206176758,25.625,32.625,46.15625,63.125,47.125,3.5078125,34.0,45.3125,23.75,7.15625,26.375,,45.19096755981445,26.75,47.0,37.3125
2000-02-24,4.1143975257873535,37.92966842651367,36.5625,18.125,68.625,35.71875,32.73946762084961,,89.625,53.0625,110.5,57.125,36.875,50.66666793823242,24.90625,31.375,45.5,62.0,47.375,3.3828125,33.0625,44.25,22.75,6.578125,25.4375,,43.1674919128418,26.0625,47.875,36.40625
2000-02-25,3.9419643878936768,36.397891998291016,37.8125,18.0,66.375,35.53125,30.581499099731445,,89.25,53.0,108.0,56.625,36.0,50.58333206176758,24.34375,31.0,42.875,60.1875,45.65625,3.3203125,32.375,42.5625,22.875,6.40625,25.03125,,42.77404022216797,26.125,44.5,35.53125
